TZ;VOL;%;COD;MAT;PAT
30248;207,74;0,36;DONJUANA;T 0X50;TERMOGUAJIRA-DIBULLA
30255;565,4;0,98;LA ESMERALDA;T ROM;LOS VADOS
30256;372,76;0,65;326;T ROM;LOS VADOS
30257;238,16;0,41;LOS VADOS;T 0X50;TERMOGUAJIRA-DIBULLA
30289;272,16;0,47;337;T 0X50;ACOPIO MINEX
30290;416,07;0,72;339;T ROM;ACOPIO MINEX
30291;169,22;0,29;1930;T ROM;ACOPIO MINEX
30292;303,88;0,53;337;T ROM;ACOPIO MINEX
30293;266,04;0,46;UREÑA ;T ROM;ACOPIO MINEX
30294;151,3;0,26;1931;T ROM;ACOPIO MINEX
30295;206,71;0,36;24;T ROM;LA PRADERA
30296;936,83;1,63;1934;T ROM;LA PRADERA
30297;234,14;0,41;546;T ROM;LA PRADERA
30298;268,18;0,47;1085;T ROM;LA PRADERA
30299;268,17;0,47;217;T ROM;LA PRADERA
30300;236,75;0,41;203;T ROM;LA PRADERA
30301;260,48;0,45;2;T ROM;LA PRADERA
30302;346;0,60;668;T ROM;LA PRADERA
30303;251,51;0,44;1029;T ROM;LA PRADERA
30304;144,23;0,25;917;T ROM;LA PRADERA
30305;454,75;0,79;GUAYABO;T ROM;PATIO BONITO
30308;923,7;1,61;1875;T 0X50;PUERTO CARBOSAN
30309;550,04;0,96;PATIO BONITO ;T 0X50;PUERTO CARBOSAN
30310;482,51;0,84;ACOPIO MINEX ;T 0X50;PUERTO CARBOSAN
30311;272,61;0,47;LA PRADERA;T 0x10;PUERTO CARBOSAN
30335;264,62;0,46;LA ESMERALDA;T ROM;LOS VADOS
30336;331,43;0,58;LAJAS;T ROM;LOS VADOS
30337;273,83;0,48;326;T ROM;LOS VADOS
30339;897,86;1,56;801;T ROM;DONJUANA
30340;238,64;0,42;1953-LAS ISABELLAS;T ROM;DONJUANA
30343;34,75;0,06;DONJUANA;T 0X50;TERMOGUAJIRA-DIBULLA
30375;207,46;0,36;337;T;ACOPIO MINEX
30376;644,05;1,12;UREÑA ;T;ACOPIO MINEX
30377;212,67;0,37;1916;T;LA PRADERA
30378;411,68;0,72;1934;T;LA PRADERA
30379;302,35;0,53;203;T;LA PRADERA
30380;266,17;0,46;GUAYABO;T;PATIO BONITO
30381;159,24;0,28;873;T;ACOPIO MINEX
30382;117,16;0,20;3;T;LA PRADERA
30383;410,85;0,71;LA PRADERA;T 0x10;TERMOGUAJIRA-DIBULLA
30384;622,57;1,08;ACOPIO MINEX;T 0X50;TERMOGUAJIRA-DIBULLA
30385;239,03;0,42;CARBOEX-PAJARITO;T 0X50;TERMOGUAJIRA-DIBULLA
30386;311,87;0,54;1875;T 0X50;TERMOGUAJIRA-DIBULLA
30387;1.374,82;2,39;1875;T 0X50;PUERTO CARBOSAN
30388;1.098,47;1,91;PATIO BONITO ;T 0X50;PUERTO CARBOSAN
30398;130,32;0,23;1912;T ROM;LA LEJIA
30399;310,54;0,54;LA LEJIA;T 0X50;PUERTO CARBOSAN
30407;517,93;0,90;1875;T 0X50;PUERTO CARBOSAN
30429;335,13;0,58;337;T 0X50;ACOPIO MINEX
30430;340,65;0,59;339;T ROM;ACOPIO MINEX
30431;209,3;0,36;337;T ROM;ACOPIO MINEX
30432;246,93;0,43;1916;T ROM;LA PRADERA
30433;268,05;0,47;109;T ROM;LA PRADERA
30434;186,61;0,32;217;T ROM;LA PRADERA
30435;207,13;0,36;2;T ROM;LA PRADERA
30436;267,05;0,46;668;T ROM;LA PRADERA
30437;253,07;0,44;1028;T ROM;LA PRADERA
30438;245,88;0,43;CAÑO DULCE;T ROM;PATIO BONITO
30439;509,11;0,89;GUAYABO;T ROM;PATIO BONITO
30440;342,31;0,60;CARBOEX-PAJARITO;T 0X50;TERMOGUAJIRA-DIBULLA
30441;480,47;0,84;1875;T 0X50;PUERTO CARBOSAN
30442;512,65;0,89;LA PRADERA;T 0X50;PUERTO CARBOSAN
30443;582,34;1,01;PATIO BONITO ;T 0X50;PUERTO CARBOSAN
